plate,slot,sample_id,material,region,date,pct_change
25,3,Y-25-3,SmCo35,NW Arc,2025-10-23,-0.31
25,3,Y-25-3,SmCo35,NW Arc,2026-01-08,-0.1662
25,4,Y-25-4,N42EH,NW Arc,2025-07-17,-1.1861
25,4,Y-25-4,N42EH,NW Arc,2025-08-27,-0.7577
25,4,Y-25-4,N42EH,NW Arc,2025-10-23,-0.3844
25,4,Y-25-4,N42EH,NW Arc,2026-01-08,-0.2948
26,1,Y-26-1,SmCo35,SE Arc,2025-07-30,0.0234
26,1,Y-26-1,SmCo35,SE Arc,2025-08-27,-0.0063
26,1,Y-26-1,SmCo35,SE Arc,2025-10-21,-0.034
26,1,Y-26-1,SmCo35,SE Arc,2026-01-08,0.105
26,2,Y-26-2,N42EH,SE Arc,2025-07-30,0.0389
26,2,Y-26-2,N42EH,SE Arc,2025-08-27,-0.1478
26,2,Y-26-2,N42EH,SE Arc,2025-10-21,-0.133
26,2,Y-26-2,N42EH,SE Arc,2026-01-08,-0.0177
26,3,Y-26-3,SmCo33H,SE Arc,2025-07-30,0.0067
26,3,Y-26-3,SmCo33H,SE Arc,2025-08-27,-0.1365
26,3,Y-26-3,SmCo33H,SE Arc,2025-10-21,-0.079
26,3,Y-26-3,SmCo33H,SE Arc,2026-01-08,-0.0099
26,4,Y-26-4,N52SH,SE Arc,2025-07-30,0.0807
26,4,Y-26-4,N52SH,SE Arc,2025-08-27,-0.095
26,4,Y-26-4,N52SH,SE Arc,2025-10-21,-0.1426
26,4,Y-26-4,N52SH,SE Arc,2026-01-08,0.019
3,1,Y-3-1,N42EH,SE Arc,2025-07-30,-0.1265
3,1,Y-3-1,N42EH,SE Arc,2025-08-27,-0.395
3,1,Y-3-1,N42EH,SE Arc,2025-10-21,-0.4954
3,1,Y-3-1,N42EH,SE Arc,2026-01-08,-0.1515
3,2,Y-3-2,SmCo33H,SE Arc,2025-07-30,-0.2014
3,2,Y-3-2,SmCo33H,SE Arc,2025-08-27,-0.8037
3,2,Y-3-2,SmCo33H,SE Arc,2025-10-21,-0.1364
3,2,Y-3-2,SmCo33H,SE Arc,2026-01-08,0.0636
3,3,Y-3-3,N52SH,SE Arc,2025-07-30,-0.0646
3,3,Y-3-3,N52SH,SE Arc,2025-08-27,-0.5134
3,3,Y-3-3,N52SH,SE Arc,2025-10-21,-0.2758
3,3,Y-3-3,N52SH,SE Arc,2026-01-08,-0.1237
3,4,Y-3-4,SmCo35,SE Arc,2025-07-30,-0.1087
3,4,Y-3-4,SmCo35,SE Arc,2025-08-27,-0.4566
3,4,Y-3-4,SmCo35,SE Arc,2025-10-21,-0.1724
3,4,Y-3-4,SmCo35,SE Arc,2026-01-08,-0.122
30,1,Y-30-1,SmCo35,South Linac,2025-07-30,0.0458
30,1,Y-30-1,SmCo35,South Linac,2025-08-27,-0.2506
